ticker,name,sector,industry,price,collection
club,town sports international holdings inc.,services,sporting activities,wiki/club,stocks/club
cmc,commercial metals company,basic materials,steel & iron,wiki/cmc,stocks/cmc
cma,comerica incorporated,financial,money center banks,wiki/cma,stocks/cma
cmco,columbus mckinnon corporation,industrial goods,farm & construction machinery,wiki/cmco,stocks/cmco
cmcsk,comcast corporation,,,na,stocks/cmcsk
cme,cme group inc.,financial,investment brokerage - national,wiki/cme,stocks/cme
cmcsa,comcast corporation,services,entertainment - diversified,wiki/cmcsa,stocks/cmcsa
cmfo,china marine food group limited,consumer goods,processed & packaged goods,na,stocks/cmfo
cmg,"chipotle mexican grill, inc.",services,restaurants,wiki/cmg,stocks/cmg
cmi,cummins inc.,industrial goods,diversified machinery,wiki/cmi,stocks/cmi
cmkg,"mktg, inc.",services,marketing services,na,stocks/cmkg
cmlp,crestwood midstream partners lp,basic materials,oil & gas pipelines,na,stocks/cmlp
cmls,cumulus media inc.,services,broadcasting - radio,wiki/cmls,stocks/cmls
cmp,compass minerals international inc.,basic materials,industrial metals & minerals,wiki/cmp,stocks/cmp
cmro,"comarco, inc.",technology,communication equipment,na,stocks/cmro
cmn,cantel medical corp.,healthcare,medical instruments & supplies,wiki/cmn,stocks/cmn
cmrx,"chimerix, inc.",healthcare,biotechnology,wiki/cmrx,stocks/cmrx
cmtl,comtech telecommunications corp.,technology,communication equipment,wiki/cmtl,stocks/cmtl
cnbka,century bancorp inc.,financial,regional - northeast banks,wiki/cnbka,stocks/cnbka
cnc,centene corp.,healthcare,health care plans,wiki/cnc,stocks/cnc
cndo,"coronado biosciences, inc.",healthcare,biotechnology,wiki/cndo,stocks/cndo
cnk,cinemark holdings inc.,services,"movie production, theaters",wiki/cnk,stocks/cnk
cnl,cleco corporation,utilities,electric utilities,wiki/cnl,stocks/cnl
cna,cna financial corporation,financial,property & casualty insurance,wiki/cna,stocks/cna
cnbc,"center bancorp, inc.",financial,regional - northeast banks,wiki/cnbc,stocks/cnbc
cno,"cno financial group, inc.",financial,accident & health insurance,wiki/cno,stocks/cno
cnmd,conmed corporation,healthcare,medical appliances & equipment,wiki/cnmd,stocks/cnmd
cnob,"connectone bancorp, inc.",financial,regional - mid-atlantic banks,wiki/cnob,stocks/cnob
cnqr,"concur technologies, inc.",technology,technical & system software,wiki/cnqr,stocks/cnqr
cns,cohen & steers inc.,financial,asset management,wiki/cns,stocks/cns
cnsi,"comverse, inc.",services,business services,wiki/cnsi,stocks/cnsi
cnsl,consolidated communications holdings inc.,technology,telecom services - domestic,wiki/cnsl,stocks/cnsl
cnw,con-way inc.,services,trucking,wiki/cnw,stocks/cnw
cnx,consol energy inc.,basic materials,independent oil & gas,wiki/cnx,stocks/cnx
cnyd,"china yida holding, co.",services,personal services,na,stocks/cnyd
cobk,"colonial financial services, inc.",financial,regional - northeast banks,na,stocks/cobk
cobz,cobiz financial inc.,financial,regional - southwest banks,wiki/cobz,stocks/cobz
coco,corinthian colleges inc.,services,education & training services,wiki/coco,stocks/coco
codi,compass diversified holdings,conglomerates,conglomerates,na,stocks/codi
cof,capital one financial corporation,financial,credit services,wiki/cof,stocks/cof
cog,cabot oil & gas corporation,basic materials,independent oil & gas,wiki/cog,stocks/cog
coh,"coach, inc.",consumer goods,textile - apparel footwear & accessories,wiki/coh,stocks/coh
cohr,coherent inc.,technology,scientific & technical instruments,wiki/cohr,stocks/cohr
coke,coca-cola bottling co. consolidated,consumer goods,beverages - soft drinks,wiki/coke,stocks/coke
col,rockwell collins inc.,industrial goods,aerospace/defense products & services,wiki/col,stocks/col
cohu,"cohu, inc.",technology,semiconductor equipment & materials,wiki/cohu,stocks/cohu
colb,columbia banking system inc.,financial,savings & loans,wiki/colb,stocks/colb
colm,columbia sportswear company,consumer goods,textile - apparel clothing,wiki/colm,stocks/colm
conn,conns inc.,services,electronics stores,wiki/conn,stocks/conn
coo,the cooper companies inc.,healthcare,medical instruments & supplies,wiki/coo,stocks/coo
cool,majesco entertainment co.,technology,multimedia & graphics software,na,stocks/cool
cop,conocophillips,basic materials,independent oil & gas,wiki/cop,stocks/cop
cor,coresite realty corporation,financial,reit - office,na,stocks/cor
cort,corcept therapeutics incorporated,healthcare,biotechnology,wiki/cort,stocks/cort
corx,"cortex pharmaceuticals, inc.",healthcare,drug manufacturers - other,na,stocks/corx
cosi,cosi inc.,services,restaurants,na,stocks/cosi
cost,costco wholesale corporation,services,"discount, variety stores",wiki/cost,stocks/cost
cot,cott corporation,consumer goods,beverages - soft drinks,na,stocks/cot
cov,covidien plc,healthcare,medical instruments & supplies,wiki/cov,stocks/cov
covr,cover-all technologies inc.,,,na,stocks/covr
cown,"cowen group, inc.",financial,investment brokerage - national,wiki/cown,stocks/cown
cpah,counterpath corporation,,,na,stocks/cpah
cpb,campbell soup company,consumer goods,processed & packaged goods,wiki/cpb,stocks/cpb
cpe,callon petroleum company,basic materials,independent oil & gas,wiki/cpe,stocks/cpe
cpf,central pacific financial corp.,financial,regional - pacific banks,wiki/cpf,stocks/cpf
cpgi,china shengda packaging group inc.,consumer goods,packaging & containers,na,stocks/cpgi
cphd,cepheid,technology,scientific & technical instruments,wiki/cphd,stocks/cphd
cpix,"cumberland pharmaceuticals, inc.",healthcare,drug manufacturers - other,na,stocks/cpix
cphc,canterbury park holding corporation,services,gaming activities,na,stocks/cphc
cpn,calpine corp.,utilities,electric utilities,wiki/cpn,stocks/cpn
cprt,"copart, inc.",services,auto dealerships,wiki/cprt,stocks/cprt
cpla,capella education co.,services,education & training services,wiki/cpla,stocks/cpla
cprx,catalyst pharmaceutical partners inc.,healthcare,drugs - generic,na,stocks/cprx
cpsi,computer programs & systems inc.,technology,healthcare information services,wiki/cpsi,stocks/cpsi
cpsl,"china precision steel, inc.",basic materials,steel & iron,na,stocks/cpsl
cpst,capstone turbine corp.,industrial goods,industrial electrical equipment,wiki/cpst,stocks/cpst
cpt,camden property trust,financial,reit - residential,na,stocks/cpt
crai,cra international inc.,services,management services,wiki/crai,stocks/crai
cpwr,compuware corporation,technology,application software,wiki/cpwr,stocks/cpwr
cray,cray inc.,technology,diversified computer systems,wiki/cray,stocks/cray
crdc,cardica inc.,healthcare,medical instruments & supplies,na,stocks/crdc
cree,"cree, inc.",technology,semiconductor equipment & materials,wiki/cree,stocks/cree
cris,"curis, inc.",healthcare,biotechnology,wiki/cris,stocks/cris
crk,comstock resources inc.,basic materials,independent oil & gas,wiki/crk,stocks/crk
crl,"charles river laboratories international, inc.",healthcare,medical laboratories & research,wiki/crl,stocks/crl
crmd,"cormedix, inc.",healthcare,biotechnology,na,stocks/crmd
crmt,america's car-mart inc.,services,auto dealerships,wiki/crmt,stocks/crmt
crox,"crocs, inc.",consumer goods,textile - apparel footwear & accessories,wiki/crox,stocks/crox
crmb,"crumbs bake shop, inc.",consumer goods,food - major diversified,na,stocks/crmb
crr,carbo ceramics inc.,basic materials,oil & gas equipment & services,wiki/crr,stocks/crr
crrc,courier corporation,services,publishing - books,wiki/crrc,stocks/crrc
crrs,"corporate resource services, inc.",services,staffing & outsourcing services,na,stocks/crrs
crs,carpenter technology corp.,industrial goods,metal fabrication,wiki/crs,stocks/crs
crtx,cornerstone therapeutics inc.,,,na,stocks/crtx
crus,cirrus logic inc.,technology,semiconductor - specialized,wiki/crus,stocks/crus
crv,coast distribution system inc.,services,auto parts wholesale,na,stocks/crv
crvl,corvel corporation,financial,insurance brokers,wiki/crvl,stocks/crvl
crvp,"crystal rock holdings, inc.",consumer goods,beverages - soft drinks,na,stocks/crvp
crws,"crown crafts, inc.",consumer goods,textile - apparel clothing,na,stocks/crws
cry,cryolife inc.,healthcare,medical appliances & equipment,wiki/cry,stocks/cry
csbk,clifton bancorp inc.,financial,savings & loans,wiki/csbk,stocks/csbk
cscd,cascade microtech inc.,technology,semiconductor equipment & materials,na,stocks/cscd
csc,computer sciences corporation,technology,information technology services,wiki/csc,stocks/csc
csco,"cisco systems, inc.",technology,networking & communication devices,wiki/csco,stocks/csco
csfl,"centerstate banks, inc.",financial,regional - southeast banks,wiki/csfl,stocks/csfl
csgp,costar group inc.,financial,property management,wiki/csgp,stocks/csgp
csgs,csg systems international inc.,technology,business software & services,wiki/csgs,stocks/csgs
csh,"cash america international, inc.",financial,credit services,wiki/csh,stocks/csh
cshb,community shores bank corp.,financial,regional - southwest banks,na,stocks/cshb
csii,cardiovascular systems inc.,healthcare,medical appliances & equipment,wiki/csii,stocks/csii
csl,carlisle companies incorporated,consumer goods,rubber & plastics,wiki/csl,stocks/csl
csod,"cornerstone ondemand, inc.",technology,application software,wiki/csod,stocks/csod
cspi,csp inc.,technology,information technology services,na,stocks/cspi
css,css industries inc.,services,"specialty retail, other",wiki/css,stocks/css
cst,"cst brands, inc.",services,"specialty retail, other",wiki/cst,na
csv,carriage services inc.,services,personal services,wiki/csv,stocks/csv
cswc,capital southwest corporation,financial,asset management,wiki/cswc,na
csx,csx corp.,services,railroads,wiki/csx,stocks/csx
ctas,cintas corporation,services,business services,wiki/ctas,stocks/ctas
ctb,cooper tire & rubber co.,consumer goods,rubber & plastics,wiki/ctb,stocks/ctb
ctbi,community trust bancorp inc.,financial,regional - southeast banks,wiki/ctbi,stocks/ctbi
ctct,"constant contact, inc.",services,marketing services,wiki/ctct,stocks/ctct
ctg,computer task group inc.,technology,information technology services,na,stocks/ctg
cthr,charles & colvard ltd.,services,jewelry stores,na,stocks/cthr
ctib,cti industries corp.,consumer goods,rubber & plastics,na,stocks/ctib
ctl,"centurylink, inc.",technology,telecom services - domestic,wiki/ctl,stocks/ctl
cto,consolidated tomoka land co.,financial,real estate development,wiki/cto,stocks/cto
ctrn,"citi trends, inc.",services,apparel stores,wiki/ctrn,stocks/ctrn
cts,cts corporation,technology,diversified electronics,wiki/cts,stocks/cts
ctsh,cognizant technology solutions corporation,technology,business software & services,wiki/ctsh,stocks/ctsh
ctws,connecticut water service inc.,utilities,water utilities,wiki/ctws,stocks/ctws
ctxs,"citrix systems, inc.",technology,business software & services,wiki/ctxs,stocks/ctxs
cub,cubic corporation,technology,scientific & technical instruments,wiki/cub,stocks/cub
cubi,"customers bancorp, inc.",financial,regional - northeast banks,wiki/cubi,na
cui,"cui global, inc.",industrial goods,industrial electrical equipment,na,stocks/cui
cunb,cu bancorp,financial,regional - pacific banks,wiki/cunb,stocks/cunb
cuo,continental materials corp.,industrial goods,diversified machinery,na,stocks/cuo
cutr,"cutera, inc.",healthcare,medical appliances & equipment,wiki/cutr,stocks/cutr
cuz,cousins properties incorporated,financial,reit - diversified,na,stocks/cuz
cva,covanta holding corporation,industrial goods,waste management,wiki/cva,stocks/cva
cvbf,cvb financial corp.,financial,regional - pacific banks,wiki/cvbf,stocks/cvbf
cvc,cablevision systems corporation,services,catv systems,wiki/cvc,stocks/cvc
cvbk,central virginia bankshares inc.,,,na,stocks/cvbk
cvco,"cavco industries, inc.",industrial goods,manufactured housing,wiki/cvco,stocks/cvco
cvcy,central valley community bancorp,financial,regional - pacific banks,na,stocks/cvcy
cvd,covance inc.,healthcare,medical laboratories & research,wiki/cvd,stocks/cvd
cvg,convergys corporation,services,business services,wiki/cvg,stocks/cvg
cvgi,commercial vehicle group inc.,services,auto parts wholesale,wiki/cvgi,stocks/cvgi
cvi,"cvr energy, inc.",basic materials,oil & gas refining & marketing,wiki/cvi,stocks/cvi
cvgw,calavo growers inc.,consumer goods,farm products,wiki/cvgw,stocks/cvgw
cvlt,"commvault systems, inc.",technology,application software,wiki/cvlt,stocks/cvlt
cvly,codorus valley bancorp inc.,financial,regional - northeast banks,na,stocks/cvly
cvm,cel-sci corporation,healthcare,biotechnology,na,stocks/cvm
cvo,cenveo inc.,services,business services,wiki/cvo,stocks/cvo
cvr,chicago rivet & machine co.,industrial goods,machine tools & accessories,na,stocks/cvr
cvti,"covenant transportation group, inc.",services,trucking,na,stocks/cvti
cvs,cvs caremark corporation,services,drug stores,wiki/cvs,stocks/cvs
cvu,cpi aerostructures inc.,industrial goods,aerospace/defense products & services,na,stocks/cvu
cvv,cvd equipment corporation,industrial goods,diversified machinery,na,stocks/cvv
cvvt,"china valves technology, inc.",industrial goods,industrial equipment & components,na,stocks/cvvt
cvx,chevron corporation,basic materials,major integrated oil & gas,wiki/cvx,stocks/cvx
cw,curtiss-wright corporation,technology,scientific & technical instruments,wiki/cw,stocks/cw
cwbc,community west bancshares,financial,regional - pacific banks,na,stocks/cwbc
cwco,consolidated water co. ltd.,utilities,water utilities,wiki/cwco,stocks/cwco
cwei,"clayton williams energy, inc.",basic materials,independent oil & gas,wiki/cwei,stocks/cwei
cwh,commonwealth reit,,,na,stocks/cwh
cwhn,commonwealth reit,,,na,na
cwst,casella waste systems inc.,industrial goods,waste management,wiki/cwst,stocks/cwst
cwt,california water service group,utilities,water utilities,wiki/cwt,stocks/cwt
cwtr,coldwater creek inc.,consumer goods,textile - apparel footwear & accessories,na,stocks/cwtr
cxdc,china xd plastics company ltd.,consumer goods,rubber & plastics,na,stocks/cxdc
cxo,"concho resources, inc.",basic materials,oil & gas drilling & exploration,wiki/cxo,stocks/cxo
cxp,"columbia property trust, inc.",financial,reit - office,na,stocks/cxp
cxpo,crimson exploration inc.,,,na,stocks/cxpo
cxw,corrections corporation of america,financial,reit - diversified,na,stocks/cxw
cy,cypress semiconductor corporation,technology,semiconductor - broad line,wiki/cy,stocks/cy
cyan,cyanotech corp.,healthcare,biotechnology,na,stocks/cyan
cyb,wisdomtree chinese yuan strategy,,,na,stocks/cyb
cybe,cyberoptics corp.,technology,scientific & technical instruments,na,stocks/cybe
cybx,cyberonics inc.,healthcare,medical appliances & equipment,wiki/cybx,stocks/cybx
cycc,"cyclacel pharmaceuticals, inc.",healthcare,biotechnology,na,stocks/cycc
cyccp,"cyclacel pharmaceuticals, inc.",,,na,na
cyh,"community health systems, inc.",healthcare,hospitals,wiki/cyh,stocks/cyh
cyn,city national corporation,financial,money center banks,wiki/cyn,stocks/cyn
cyni,"cyan, inc.",technology,communication equipment,wiki/cyni,stocks/cyni
cyno,"cynosure, inc.",healthcare,medical appliances & equipment,wiki/cyno,stocks/cyno
cys,"cys investments, inc.",financial,mortgage investment,na,na
cyt,cytec industries inc.,basic materials,specialty chemicals,wiki/cyt,stocks/cyt
cytk,"cytokinetics, incorporated",healthcare,biotechnology,wiki/cytk,stocks/cytk
cytr,cytrx corporation,healthcare,biotechnology,na,stocks/cytr
cytx,"cytori therapeutics, inc.",healthcare,biotechnology,wiki/cytx,stocks/cytx
cytxw,cytori therapeutics inc,,,na,na
czfc,citizens first corporation,financial,regional - southeast banks,na,stocks/czfc
cznc,citizens & northern corp.,financial,regional - mid-atlantic banks,wiki/cznc,stocks/cznc
czwi,"citizens community bancorp, inc.",financial,regional - midwest banks,na,stocks/czwi
d,"dominion resources, inc.",utilities,electric utilities,wiki/d,stocks/d
daeg,daegis inc.,technology,application software,na,stocks/daeg
czr,caesars entertainment corporation,services,resorts & casinos,wiki/czr,stocks/czr
daio,data i/o corp.,technology,diversified electronics,na,stocks/daio
dal,delta air lines inc.,services,major airlines,wiki/dal,stocks/dal
dakt,daktronics inc.,consumer goods,electronic equipment,wiki/dakt,stocks/dakt
dan,dana holding corporation,consumer goods,auto parts,wiki/dan,stocks/dan
dar,darling international inc.,industrial goods,waste management,wiki/dar,stocks/dar
dara,"dara biosciences, inc",healthcare,biotechnology,na,stocks/dara
data,"tableau software, inc.",technology,application software,wiki/data,stocks/data
dave,famous dave's of america inc.,services,restaurants,na,stocks/dave
dbd,"diebold, incorporated",technology,diversified computer systems,wiki/dbd,stocks/dbd
dble,double eagle petroleum co.,,,na,stocks/dble
dblep,double eagle petroleum co.,,,na,na
dci,"donaldson company, inc.",industrial goods,pollution & treatment controls,wiki/dci,stocks/dci
dco,ducommun inc.,industrial goods,aerospace/defense products & services,wiki/dco,stocks/dco
dcom,dime community bancshares inc.,financial,savings & loans,wiki/dcom,stocks/dcom
dct,dct industrial trust inc.,financial,reit - industrial,na,stocks/dct
dcth,"delcath systems, inc.",healthcare,drug delivery,na,stocks/dcth
dd,e. i. du pont de nemours and company,basic materials,agricultural chemicals,wiki/dd,stocks/dd
ddd,3d systems corp.,technology,computer peripherals,wiki/ddd,stocks/ddd
dddc,"deltathree, inc.",technology,diversified communication services,na,stocks/dddc
dde,dover downs gaming & entertainment inc.,services,gaming activities,na,stocks/dde
ddr,ddr corp.,financial,reit - retail,na,stocks/ddr
dds,dillard's inc.,services,department stores,wiki/dds,stocks/dds
de,deere & company,industrial goods,farm & construction machinery,wiki/de,stocks/de
deck,deckers outdoor corp.,consumer goods,textile - apparel footwear & accessories,wiki/deck,stocks/deck
deer,"deer consumer products, inc.",consumer goods,home furnishings & fixtures,na,stocks/deer
dei,douglas emmett inc,financial,reit - diversified,na,stocks/dei
del,deltic timber corporation,industrial goods,"lumber, wood production",wiki/del,stocks/del
denn,denny's corporation,services,restaurants,wiki/denn,stocks/denn
depo,depomed inc.,healthcare,drug manufacturers - other,wiki/depo,stocks/depo
dest,destination maternity corporation,services,apparel stores,wiki/dest,stocks/dest
df,dean foods company,consumer goods,dairy products,wiki/df,stocks/df
dfs,discover financial services,financial,credit services,wiki/dfs,stocks/dfs
dft,"dupont fabros technology, inc.",financial,reit - office,na,stocks/dft
dfz,r.g. barry corporation,consumer goods,textile - apparel footwear & accessories,wiki/dfz,stocks/dfz
dg,dollar general corporation,services,"discount, variety stores",wiki/dg,stocks/dg
dgi,"digitalglobe, inc.",industrial goods,aerospace/defense products & services,wiki/dgi,stocks/dgi
dgas,"delta natural gas company, inc.",utilities,gas utilities,wiki/dgas,stocks/dgas
dgica,donegal group inc.,,,wiki/dgica,stocks/dgica
dgicb,donegal group inc.,financial,property & casualty insurance,na,stocks/dgicb
dgii,digi international inc.,technology,networking & communication devices,wiki/dgii,stocks/dgii
dgit,"digital generation, inc.",,,na,stocks/dgit
dgly,digital ally inc.,technology,scientific & technical instruments,na,stocks/dgly
dgse,dgse companies inc.,services,jewelry stores,na,stocks/dgse
dgx,quest diagnostics inc.,healthcare,medical laboratories & research,wiki/dgx,stocks/dgx
dhi,dr horton inc.,industrial goods,residential construction,wiki/dhi,stocks/dhi
dhil,diamond hill investment group inc.,financial,asset management,wiki/dhil,stocks/dhil
dhr,danaher corp.,industrial goods,diversified machinery,wiki/dhr,stocks/dhr
dhx,"dice holdings, inc.",services,staffing & outsourcing services,wiki/dhx,stocks/dhx
dhrm,dehaier medical systems limited,healthcare,medical appliances & equipment,na,stocks/dhrm
diet,ediets.com inc.,,,na,stocks/diet
din,"dineequity, inc.",services,restaurants,wiki/din,stocks/din
diod,diodes incorporated,technology,semiconductor - integrated circuits,wiki/diod,stocks/diod
disca,"discovery communications, inc.",services,catv systems,wiki/disca,stocks/disca
discb,"discovery communications, inc.",,,na,na
disck,"discovery communications, inc.",,,na,na
dish,dish network corp.,services,catv systems,wiki/dish,stocks/dish
dis,the walt disney company,services,entertainment - diversified,wiki/dis,stocks/dis
djco,daily journal corp.,services,publishing - newspapers,wiki/djco,stocks/djco
dit,amcon distributing co.,services,food wholesale,na,stocks/dit
dk,"delek us holdings, inc.",basic materials,oil & gas refining & marketing,wiki/dk,stocks/dk
dkl,"delek logistics partners, lp",basic materials,independent oil & gas,na,stocks/dkl
dks,dick's sporting goods inc.,services,sporting goods stores,wiki/dks,stocks/dks
dlb,"dolby laboratories, inc.",technology,diversified electronics,wiki/dlb,stocks/dlb
dla,delta apparel inc.,consumer goods,textile - apparel clothing,na,stocks/dla
dlgc,"dialogic, inc.",technology,communication equipment,na,stocks/dlgc
dllr,dfc global corp.,financial,credit services,wiki/dllr,stocks/dllr
dlia,"delia*s, inc.",services,catalog & mail order houses,na,stocks/dlia
dlhc,dlh holdings corp.,services,staffing & outsourcing services,na,stocks/dlhc
dlph,delphi automotive plc,consumer goods,auto parts,wiki/dlph,stocks/dlph
dlr,digital realty trust inc.,financial,reit - office,na,na
dltr,"dollar tree, inc.",services,"discount, variety stores",wiki/dltr,stocks/dltr
dlx,deluxe corp.,services,business services,wiki/dlx,stocks/dlx
dmd,"demand media, inc.",technology,internet software & services,wiki/dmd,stocks/dmd
dmlp,dorchester minerals lp,financial,diversified investments,na,stocks/dmlp
dmrc,digimarc corporation,technology,information technology services,wiki/dmrc,stocks/dmrc
dmnd,"diamond foods, inc.",consumer goods,processed & packaged goods,wiki/dmnd,stocks/dmnd
dnb,dun & bradstreet corp.,technology,information & delivery services,wiki/dnb,stocks/dnb
dndn,dendreon corp.,healthcare,biotechnology,wiki/dndn,stocks/dndn
dnkn,"dunkin' brands group, inc.",services,restaurants,wiki/dnkn,stocks/dnkn
dnr,denbury resources inc.,basic materials,independent oil & gas,wiki/dnr,stocks/dnr
do,"diamond offshore drilling, inc.",basic materials,oil & gas drilling & exploration,wiki/do,stocks/do
dnbf,dnb financial corp.,financial,regional - mid-atlantic banks,na,stocks/dnbf
dorm,"dorman products, inc.",consumer goods,auto parts,wiki/dorm,stocks/dorm
dov,dover corporation,industrial goods,diversified machinery,wiki/dov,stocks/dov
dow,the dow chemical company,basic materials,chemicals - major diversified,wiki/dow,stocks/dow
dps,"dr pepper snapple group, inc.",consumer goods,beverages - soft drinks,wiki/dps,stocks/dps
dpm,dcp midstream partners lp,basic materials,oil & gas pipelines,na,stocks/dpm
dpw,digital power corp.,technology,diversified electronics,na,stocks/dpw
drad,digirad corporation,healthcare,medical appliances & equipment,na,stocks/drad
dram,dataram corporation,technology,data storage devices,na,stocks/dram
drc,dresser-rand group inc.,industrial goods,diversified machinery,wiki/drc,stocks/drc
drco,dynamics research corporation,,,na,stocks/drco
dre,duke realty corporation,financial,reit - industrial,na,stocks/dre
dpz,"domino's pizza, inc.",services,restaurants,wiki/dpz,stocks/dpz
driv,digital river inc.,technology,internet software & services,wiki/driv,stocks/driv
drh,diamondrock hospitality co.,financial,reit - hotel/motel,na,stocks/drh
dri,"darden restaurants, inc.",services,restaurants,wiki/dri,stocks/dri
drl,doral financial corporation,financial,money center banks,wiki/drl,stocks/drl
drq,"dril-quip, inc.",basic materials,oil & gas equipment & services,wiki/drq,stocks/drq
drrx,durect corporation,healthcare,drug manufacturers - other,na,stocks/drrx
drtx,"durata therapeutics, inc.",healthcare,biotechnology,wiki/drtx,stocks/drtx
dsci,derma sciences inc.,healthcare,medical instruments & supplies,wiki/dsci,stocks/dsci
dsco,discovery laboratories inc.,healthcare,biotechnology,na,stocks/dsco
dspg,dsp group inc.,technology,semiconductor - integrated circuits,wiki/dspg,stocks/dspg
dskx,"ds healthcare group, inc.",consumer goods,personal products,na,na
dss,"document security systems, inc.",services,business services,na,stocks/dss
dsti,daystar technologies inc.,technology,semiconductor - specialized,na,stocks/dsti
dsw,dsw inc.,services,apparel stores,wiki/dsw,stocks/dsw
dte,dte energy company,utilities,electric utilities,wiki/dte,stocks/dte
dtlk,datalink corporation,technology,data storage devices,wiki/dtlk,stocks/dtlk
dtsi,dts inc.,technology,application software,wiki/dtsi,stocks/dtsi
dtv,directv,services,catv systems,wiki/dtv,stocks/dtv
duk,duke energy corporation,utilities,diversified utilities,wiki/duk,stocks/duk
dva,davita healthcare partners inc.,healthcare,specialized health services,wiki/dva,stocks/dva
dv,devry education group inc.,services,education & training services,wiki/dv,stocks/dv
dvax,dynavax technologies corporation,healthcare,drug manufacturers - other,wiki/dvax,stocks/dvax
dvcr,diversicare healthcare services inc.,healthcare,long-term care facilities,na,na
dvd,dover motorsports inc.,services,sporting activities,na,stocks/dvd
dvn,devon energy corporation,basic materials,independent oil & gas,wiki/dvn,stocks/dvn
dvr,cal dive international inc,basic materials,oil & gas equipment & services,wiki/dvr,stocks/dvr
dwa,dreamworks animation skg inc.,services,"movie production, theaters",wiki/dwa,stocks/dwa
dw,drew industries incorporated,consumer goods,recreational vehicles,wiki/dw,stocks/dw
dwch,datawatch corporation,technology,business software & services,na,stocks/dwch
dwre,"demandware, inc.",technology,application software,wiki/dwre,stocks/dwre
dwsn,dawson geophysical company,basic materials,oil & gas equipment & services,wiki/dwsn,stocks/dwsn
dx,dynex capital inc.,financial,reit - residential,na,stocks/dx
dxcm,"dexcom, inc.",healthcare,medical instruments & supplies,wiki/dxcm,stocks/dxcm
dxlg,"destination xl group, inc.",services,apparel stores,wiki/dxlg,stocks/dxlg
dxm,"dex media, inc.",services,marketing services,wiki/dxm,na
dxpe,"dxp enterprises, inc.",services,industrial equipment wholesale,wiki/dxpe,stocks/dxpe
dxr,daxor corp.,healthcare,medical instruments & supplies,na,stocks/dxr
dy,dycom industries inc.,industrial goods,heavy construction,wiki/dy,stocks/dy
dyax,dyax corp.,healthcare,biotechnology,wiki/dyax,stocks/dyax
dyii,dynacq healthcare inc.,healthcare,hospitals,na,stocks/dyii
dyniq,dynegy inc new,,,na,stocks/dyniq
dysl,dynasil corporation of america,technology,scientific & technical instruments,na,stocks/dysl
eac,erickson incorporated,industrial goods,aerospace/defense - major diversified,wiki/eac,stocks/eac
ea,electronic arts inc.,technology,multimedia & graphics software,wiki/ea,stocks/ea
ebf,ennis inc.,consumer goods,office supplies,wiki/ebf,stocks/ebf
eat,"brinker international, inc.",services,restaurants,wiki/eat,stocks/eat
ebix,ebix inc.,technology,business software & services,wiki/ebix,stocks/ebix
ebay,ebay inc.,services,"specialty retail, other",wiki/ebay,stocks/ebay
ebmt,"eagle bancorp montana, inc.",financial,regional - pacific banks,na,stocks/ebmt
ebsb,"meridian interstate bancorp, inc.",financial,savings & loans,wiki/ebsb,stocks/ebsb
ebtc,enterprise bancorp inc.,financial,savings & loans,wiki/ebtc,stocks/ebtc
ebs,"emergent biosolutions, inc.",healthcare,biotechnology,wiki/ebs,stocks/ebs
echo,"echo global logistics, inc.",services,trucking,wiki/echo,stocks/echo
ecl,ecolab inc.,consumer goods,cleaning products,wiki/ecl,stocks/ecl
ecol,"us ecology, inc.",industrial goods,waste management,wiki/ecol,stocks/ecol
ecom,channeladvisor corporation,technology,application software,wiki/ecom,stocks/ecom
ecte,"echo therapeutics, inc.",healthcare,drug manufacturers - major,na,stocks/ecte
ecty,"ecotality, inc.",,,na,stocks/ecty
ecyt,"endocyte, inc.",healthcare,biotechnology,wiki/ecyt,stocks/ecyt
ed,"consolidated edison, inc.",utilities,diversified utilities,wiki/ed,stocks/ed
edgw,edgewater technology inc.,technology,information technology services,na,stocks/edgw
edmc,education management corporation,services,education & training services,wiki/edmc,stocks/edmc
ede,the empire district electric company,utilities,electric utilities,wiki/ede,stocks/ede
edr,"education realty trust, inc.",financial,reit - residential,na,na
educ,educational development corporation,services,publishing - books,na,stocks/educ
eei,"ecology & environment, inc.",industrial goods,waste management,na,stocks/eei
efc,ellington financial llc,financial,mortgage investment,na,stocks/efc
eeft,euronet worldwide inc.,services,business services,wiki/eeft,stocks/eeft
efii,"electronics for imaging, inc.",technology,computer peripherals,wiki/efii,stocks/efii
efoi,"energy focus, inc.",consumer goods,home furnishings & fixtures,na,stocks/efoi
efsc,enterprise financial services corp.,financial,regional - southwest banks,wiki/efsc,stocks/efsc
efx,equifax inc.,financial,credit services,wiki/efx,stocks/efx
egan,egain corporation,technology,business software & services,wiki/egan,stocks/egan
eght,8x8 inc.,technology,communication equipment,wiki/eght,stocks/eght
egl,"engility holdings, inc.",services,technical services,wiki/egl,stocks/egl
egn,energen corp.,basic materials,independent oil & gas,wiki/egn,stocks/egn
egov,nic inc.,technology,application software,wiki/egov,stocks/egov
egy,vaalco energy inc.,basic materials,independent oil & gas,wiki/egy,stocks/egy
ehth,"ehealth, inc.",financial,insurance brokers,wiki/ehth,stocks/ehth
eig,"employers holdings, inc.",financial,accident & health insurance,wiki/eig,stocks/eig
elgx,endologix inc.,healthcare,medical instruments & supplies,wiki/elgx,stocks/elgx
